"","listing_id","Mean","Max","Min","Median","Std"
"17904",9617509,18,29,4,20,11
"17905",9617592,4,10,1,2,5
"17906",9617635,26,31,1,30,9
"17907",9617684,27,31,1,30,9
"17908",9617816,8,11,5,8,4
"17909",9617945,25,31,3,30,9
"17910",9618044,25,31,3,30,11
"17911",9618249,29,31,3,30,6
"17912",9618277,28,31,19,30,4
"17913",9618574,12,31,4,9,11
"17914",9618731,26,31,1,30,10
"17915",9618786,29,31,3,30,6
"17916",9618897,29,31,3,30,6
"17917",9618927,28,31,15,30,5
"17918",9618932,28,31,1,30,8
"17919",9619277,28,31,3,30,7
"17920",9619347,5,5,5,5,0
"17921",9619470,28,31,3,30,7
"17922",9619540,27,31,1,30,10
"17923",9619587,28,31,3,30,7
"17924",9619636,20,30,1,24,13
"17925",9619804,27,31,1,30,8
"17926",9620040,29,31,3,31,6
"17927",9620063,28,31,3,30,7
"17928",9620138,29,31,3,30,6
"17929",9620197,24,31,17,24,10
"17930",9620250,29,31,18,30,4
"17931",9620397,22,31,5,22,8
"17932",9620399,17,20,14,17,4
"17933",9620538,29,31,3,31,6
"17934",9620596,25,31,1,30,11
"17935",9620679,14,17,10,14,5
"17936",9620865,29,31,3,30,6
"17937",9621111,26,31,3,30,9
"17938",9621384,28,31,3,30,8
"17939",9621694,14,18,10,14,6
"17940",9621781,29,31,3,31,6
"17941",9622302,29,31,3,30,6
"17942",9622578,24,29,19,24,7
"17943",9623209,17,31,2,18,12
"17944",9626279,29,31,18,30,4
"17945",9629234,24,31,6,29,12
"17946",9630127,29,31,3,30,6
"17947",9630576,28,31,3,30,6
"17948",9631361,28,31,3,30,8
"17949",9631383,7,13,3,4,6
"17950",9631766,29,31,3,30,6
"17951",9631823,27,31,1,30,9
"17952",9631887,29,31,2,30,6
"17953",9631998,12,16,8,12,6
"17954",9632139,28,31,16,30,5
"17955",9632154,24,31,3,30,11
"17956",9632283,14,26,1,14,18
"17957",9632356,29,31,3,30,6
"17958",9632596,6,9,2,6,5
"17959",9632597,26,31,8,30,8
"17960",9632648,30,31,30,30,1
"17961",9632709,27,31,3,30,8
"17962",9632777,29,31,3,30,6
"17963",9632991,21,29,6,25,10
"17964",9633037,14,26,1,14,18
"17965",9633059,25,31,1,30,11
"17966",9633098,30,31,24,30,2
"17967",9633233,28,31,3,31,7
"17968",9633258,10,20,1,10,13
"17969",9633283,27,31,1,30,9
"17970",9633305,28,31,3,30,7
"17971",9633562,27,31,14,30,7
"17972",9633565,26,31,11,29,8
"17973",9633609,26,31,2,30,9
"17974",9633682,28,31,3,30,8
"17975",9633744,28,31,21,29,4
"17976",9633845,29,31,3,31,6
"17977",9633986,28,31,3,30,7
"17978",9634157,29,31,3,30,6
"17979",9634319,27,31,16,30,7
"17980",9634369,28,31,11,30,6
"17981",9634398,27,31,1,30,9
"17982",9634415,29,31,19,30,3
"17983",9634439,4,7,1,4,3
"17984",9634477,28,31,1,30,9
"17985",9634514,28,31,3,30,7
"17986",9634538,14,31,1,9,13
"17987",9634581,25,31,3,30,9
"17988",9634655,21,31,7,20,8
"17989",9634683,24,31,3,30,10
"17990",9634845,27,31,1,30,9
"17991",9634922,26,31,3,30,8
"17992",9634963,24,31,3,30,11
"17993",9635055,6,7,6,6,1
"17994",9635183,25,31,2,30,12
"17995",9635418,28,31,15,30,5
"17996",9635452,4,6,1,4,4
"17997",9635589,25,31,1,30,10
"17998",9635597,4,6,1,4,2
"17999",9635832,26,31,3,30,8
"18000",9635951,26,31,1,30,9
"18001",9636056,1,1,1,1,NA
"18002",9636080,27,31,1,30,9
"18003",9636094,4,6,2,4,3
"18004",9636127,29,31,3,30,6
"18005",9636133,8,8,8,8,NA
"18006",9636239,29,31,19,30,4
"18007",9636665,27,31,1,30,10
"18008",9636690,29,31,3,30,6
"18009",9636772,29,31,23,30,3
"18010",9636791,29,31,3,30,6
"18011",9636825,28,31,3,30,7
"18012",9636884,17,29,6,16,10
"18013",9636951,2,3,1,2,1
"18014",9636953,16,23,8,16,11
"18015",9637033,10,20,3,8,7
"18016",9637174,4,9,1,2,4
"18017",9637207,2,2,2,2,NA
"18018",9637251,2,2,1,2,0
"18019",9637255,2,2,1,2,1
"18020",9637344,10,22,3,7,9
"18021",9637396,11,22,2,10,8
"18022",9637637,28,31,19,30,4
"18023",9637666,28,31,3,30,7
"18024",9637684,22,28,18,21,3
"18025",9637745,2,3,2,2,1
"18026",9637823,27,31,1,30,9
"18027",9637828,16,29,5,15,12
"18028",9638053,12,23,1,12,16
"18029",9638173,23,31,2,27,9
"18030",9638182,10,14,5,10,6
"18031",9638278,25,31,1,30,11
"18032",9638565,25,31,1,30,11
"18033",9638651,19,31,2,28,13
"18034",9638697,20,31,1,27,13
"18035",9638808,29,31,3,30,6
"18036",9638859,27,31,1,30,8
"18037",9638970,24,29,18,25,6
"18038",9639165,6,10,1,6,6
"18039",9639262,8,14,1,8,9
"18040",9639433,4,5,2,4,2
"18041",9639642,26,26,26,26,NA
"18042",9639849,29,31,3,31,6
"18043",9640143,28,31,18,30,5
"18044",9640263,29,31,3,30,6
