"","city","bathrooms","bedrooms","beds","price","review_scores_rating","spoi1km","spoi5km","spoi10km","dist_train","beach1km","beach5km","city1km","city5km","city10km","home_apt","private_room","shared_room","Apartment","House","Townhouse"
"12206","Kingsford",1,1,1,50,100,0,36,74,0,0,1,0,0,1,"0","1","0","1","0","0"
"12207","Neutral Bay",1,2,2,160,100,0,276,48,0,1,0,0,1,0,"1","0","0","1","0","0"
"12208","Tamarama",1,0,1,165,98,20,28,70,0,1,0,0,0,1,"1","0","0","1","0","0"
"12209","North Bondi",1,1,1,145,100,0,48,66,0,1,0,0,0,1,"0","1","0","1","0","0"
"12210","Palm Beach",1,2,2,500,96,0,28,1,0,1,0,0,0,0,"1","0","0","0","1","0"
"12211","Eastlakes",1,1,1,35,70,0,32,75,0,0,1,0,0,1,"0","1","0","1","0","0"
"12212","Bondi Beach",1.5,2,2,139,100,0,28,70,0,1,0,0,0,1,"1","0","0","1","0","0"
"12213","Collaroy",2,1,1,64,100,0,0,16,0,1,0,0,0,0,"0","1","0","0","1","0"
"12214","Maroubra",1,1,1,150,85,0,12,26,0,0,1,0,0,1,"1","0","0","1","0","0"
"12215","Mosman",1,1,1,550,100,0,136,80,0,0,1,0,0,1,"0","1","0","0","1","0"
"12216","Rushcutters Bay",2,2,2,200,100,40,224,58,1,0,1,0,1,0,"1","0","0","1","0","0"
"12217","North Bondi",1,1,1,68,100,0,48,66,0,1,0,0,0,1,"0","1","0","1","0","0"
"12218","Roseville",1,1,1,84,93,0,124,84,1,0,0,0,0,1,"0","1","0","1","0","0"
"12219","Cromer",1.5,1,4,119,93,0,4,19,0,0,1,0,0,0,"1","0","0","1","0","0"
"12220","Potts Hill",1,1,1,60,99,0,28,74,1,0,0,0,0,1,"0","1","0","1","0","0"
"12221","Annandale",1,0,1,110,87,20,176,66,1,0,0,0,1,0,"1","0","0","1","0","0"
"12222","Paddington",2,1,1,101,87,0,196,49,0,0,1,0,1,0,"0","1","0","0","1","0"
"12223","Potts Point",1,1,1,129,80,60,216,55,1,0,1,0,1,0,"1","0","0","1","0","0"
"12224","Annandale",1,0,1,75,100,60,212,59,0,0,0,0,1,0,"1","0","0","1","0","0"
