"","city","bathrooms","bedrooms","beds","price","review_scores_rating","spoi1km","spoi5km","spoi10km","dist_train","beach1km","beach5km","city1km","city5km","city10km","home_apt","private_room","shared_room","Apartment","House","Townhouse"
"1","Potts Point",1,1,1,64,90,40,228,58,1,0,1,0,1,0,"0","1","0","1","0","0"
"2","Pyrmont",0,1,1,99,96,140,212,67,1,0,1,0,1,0,"0","1","0","0","1","0"
"3","Balgowlah",3,3,3,469,100,0,92,68,0,1,0,0,0,1,"1","0","0","0","1","0"
"4","Redfern",1,1,1,72,89,60,204,62,1,0,1,0,1,0,"0","1","0","1","0","0"
"5","Redfern",2,1,1,47,90,60,204,61,1,0,1,0,1,0,"0","0","1","1","0","0"
"6","Darlinghurst",1,1,1,110,88,100,208,54,1,0,1,0,1,0,"0","1","0","1","0","0"
"7","Balmain",2,4,4,451,95,60,240,72,0,0,0,0,1,0,"1","0","0","0","1","0"
"8","Bellevue Hill",1,1,1,70,92,0,76,64,0,0,1,0,0,1,"0","1","0","1","0","0"
"9","North Bondi",1,1,1,200,78,0,36,63,0,1,0,0,0,1,"1","0","0","1","0","0"
"10","North Bondi",1,2,2,173,78,0,36,62,0,1,0,0,0,1,"1","0","0","1","0","0"
"11","Bellevue Hill",1,1,1,80,94,0,60,72,0,0,1,0,0,1,"0","1","0","1","0","0"
"12","Fairfield West",2,1,1,60,100,0,28,29,0,0,0,0,0,1,"0","1","0","0","1","0"
"13","Sydney",1,1,1,68,91,0,132,62,0,0,1,0,1,0,"0","1","0","1","0","0"
"14","Bondi Beach",3,5,7,700,94,0,44,67,0,1,0,0,0,1,"1","0","0","0","1","0"
"15","Bondi",1,2,2,249,92,20,20,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"16","North Bondi",1,1,1,225,78,0,36,64,0,1,0,0,0,1,"1","0","0","1","0","0"
"17","Bondi Beach",1,1,1,150,94,0,44,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"18","Sydney",1,1,1,150,87,0,16,74,0,1,0,0,0,1,"1","0","0","1","0","0"
"19","Mosman",1,1,4,130,89,20,152,74,0,0,1,0,0,1,"1","0","0","1","0","0"
"20","Darling Point",1,1,1,170,97,0,236,54,0,1,0,0,1,0,"0","1","0","1","0","0"
"21","Coogee",2,1,1,90,100,0,16,73,0,1,0,0,0,1,"0","1","0","1","0","0"
"22","Bondi",1,1,1,95,98,0,52,69,0,0,1,0,0,1,"0","1","0","1","0","0"
"23","Lane Cove West",2,1,2,64,95,0,112,113,0,0,0,0,0,1,"0","1","0","0","1","0"
"24","Beacon Hill",1,2,4,105,98,0,12,44,0,0,1,0,0,0,"1","0","0","1","0","0"
"25","Alexandria",1,1,1,64,94,0,156,61,1,0,0,0,1,0,"0","1","0","0","1","0"
"26","Lane Cove West",2,1,2,64,93,0,112,114,0,0,0,0,0,1,"0","1","0","0","1","0"
"27","Cherrybrook",3.5,1,3,89,98,0,8,49,0,0,0,0,0,1,"0","1","0","0","1","0"
"28","Kingsford",2.5,3,5,500,83,0,12,71,0,0,1,0,0,1,"1","0","0","0","1","0"
"29","Alexandria",1,1,1,35,98,20,172,53,1,0,0,0,1,0,"0","0","1","1","0","0"
"30","Sydney",1,2,2,190,100,0,28,73,0,0,1,0,0,1,"1","0","0","1","0","0"
"31","Bondi Beach",1,1,1,90,94,0,52,71,0,0,1,0,0,1,"0","1","0","1","0","0"
"32","Pyrmont",0,1,1,89,95,160,208,66,1,0,1,0,1,0,"0","1","0","0","1","0"
"33","Malabar",1,1,1,119,98,0,12,15,0,1,0,0,0,0,"1","0","0","1","0","0"
"34","Sydney",1,1,1,84,97,0,24,74,0,0,1,0,0,1,"0","1","0","0","1","0"
"35","Sydney",2.5,3,3,249,86,80,212,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"36","Neutral Bay",1,1,1,95,98,0,272,54,0,0,1,0,1,0,"0","1","0","0","1","0"
"37","Neutral Bay",2,2,2,400,100,0,272,54,0,0,1,0,1,0,"1","0","0","0","0","1"
"38","Woollahra",1,2,2,150,83,20,168,49,1,0,1,0,1,0,"1","0","0","1","0","0"
"39","Miranda",2,1,3,68,92,20,20,14,1,0,0,0,0,0,"0","1","0","1","0","0"
"40","Bondi",1,2,2,270,91,20,36,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"41","North Wahroonga",1,1,1,70,97,20,64,16,0,0,0,0,0,0,"0","1","0","0","1","0"
"42","Balmain",2,3,5,400,93,60,244,70,0,0,0,0,1,0,"1","0","0","0","1","0"
"43","Bondi Beach",1,2,3,160,89,0,36,64,0,1,0,0,0,1,"1","0","0","1","0","0"
"44","Bondi Beach",1,2,2,170,92,0,40,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"45","Bondi Beach",1,2,3,200,96,0,40,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"46","Newport",2,2,3,190,100,0,12,5,0,1,0,0,0,0,"1","0","0","0","1","0"
"47","Castlecrag",1,1,1,145,92,40,104,97,0,0,1,0,0,1,"1","0","0","1","0","0"
"48","Bondi Junction",1,2,2,180,98,20,100,60,1,0,1,0,1,0,"1","0","0","1","0","0"
"49","Rushcutters Bay",1,1,1,110,80,80,216,58,1,0,1,0,1,0,"1","0","0","1","0","0"
"50","Erskineville",2,1,1,75,97,0,180,55,1,0,0,0,1,0,"0","1","0","0","1","0"
"51","Erskineville",1,1,1,89,98,0,192,52,1,0,0,0,1,0,"0","1","0","1","0","0"
"52","Redfern",1.5,1,1,90,96,40,192,57,1,0,1,0,1,0,"0","1","0","0","1","0"
"53","Bondi",1,1,1,90,94,0,68,66,0,0,1,0,0,1,"0","1","0","1","0","0"
"54","Gordon",1,3,6,198,77,80,72,49,1,0,0,0,0,0,"1","0","0","0","1","0"
"55","North Narrabeen",1,3,4,170,95,0,4,6,0,0,1,0,0,0,"1","0","0","1","0","0"
"56","Potts Point",1,1,1,119,93,60,220,58,1,0,1,0,1,0,"1","0","0","1","0","0"
"57","Redfern",1,1,1,95,97,60,200,59,1,0,1,0,1,0,"0","1","0","0","1","0"
"58","Homebush West",1,1,1,50,98,0,92,86,1,0,0,0,0,1,"0","1","0","1","0","0"
"59","Carlingford",0.5,1,1,55,97,0,144,51,1,0,0,0,1,0,"0","1","0","0","0","1"
"60","Carlingford",2,1,4,75,98,0,144,51,1,0,0,0,1,0,"0","1","0","0","0","1"
"61","Narrabeen",1,2,4,249,90,0,0,11,0,1,0,0,0,0,"1","0","0","1","0","0"
"62","Greenwich",1.5,3,3,178,100,60,228,85,1,0,1,0,1,0,"1","0","0","1","0","0"
"63","Clovelly",1,1,1,190,88,0,12,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"64","Edensor Park",1,1,1,58,93,0,12,13,0,0,0,0,0,1,"0","1","0","0","1","0"
"65","Bondi",1.5,1,1,185,93,20,48,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"66","Marrickville",1,1,1,50,82,0,100,77,1,0,0,0,0,1,"0","1","0","1","0","0"
"67","Campsie",2.5,3,11,290,89,20,84,36,1,0,0,0,0,0,"1","0","0","0","1","0"
"68","Woollahra",2,4,6,397,90,20,168,50,1,0,1,0,1,0,"1","0","0","0","1","0"
"69","Woollahra",1,1,2,139,78,20,168,49,1,0,1,0,1,0,"1","0","0","1","0","0"
"70","Sydney",1,1,1,121,94,40,232,57,1,0,1,0,1,0,"1","0","0","1","0","0"
"71","Bondi Beach",1,2,2,380,95,0,52,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"72","Bondi",1,3,3,249,88,20,44,67,0,1,0,0,0,1,"1","0","0","1","0","0"
"73","Woollahra",1,1,1,101,98,20,168,48,1,0,1,0,1,0,"0","1","0","0","1","0"
"74","Double Bay",1,1,1,95,97,20,200,56,1,1,0,0,1,0,"0","1","0","1","0","0"
"75","Surry Hills",1,1,1,109,98,80,200,61,1,0,1,0,1,0,"0","1","0","1","0","0"
"76","Bundeena",2.5,3,3,500,85,0,4,8,0,1,0,0,0,0,"1","0","0","0","1","0"
"77","Coogee",1,2,3,129,90,0,8,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"78","Gordon",1,1,1,89,80,80,68,49,1,0,0,0,0,0,"0","1","0","1","0","0"
"79","North Narrabeen",1,4,5,200,97,0,0,7,0,0,1,0,0,0,"1","0","0","0","1","0"
"80","Sydney",1,1,2,249,94,40,192,57,0,0,1,0,1,0,"1","0","0","1","0","0"
"81","Woollahra",1,1,1,101,94,20,176,47,1,0,1,0,1,0,"0","1","0","0","1","0"
"82","Woollahra",1,1,1,101,96,20,168,48,1,0,1,0,1,0,"0","1","0","0","1","0"
"83","Sydney",2,2,3,220,94,20,176,55,1,0,0,0,1,0,"1","0","0","0","1","0"
"84","Kellyville Ridge",1,1,1,119,98,0,12,5,0,0,0,0,0,0,"1","0","0","1","0","0"
"85","Rose Bay",1,1,2,200,100,0,136,62,0,0,1,0,0,1,"1","0","0","1","0","0"
"86","Engadine",1,1,1,200,85,0,28,5,0,0,1,0,0,0,"1","0","0","1","0","0"
"87","Engadine",1,1,1,115,66,0,28,5,0,0,1,0,0,0,"0","1","0","0","1","0"
"88","Engadine",1,1,1,139,100,0,28,5,0,0,1,0,0,0,"0","1","0","0","1","0"
"89","Kirribilli",1,1,1,90,95,40,256,54,1,0,1,0,1,0,"0","1","0","1","0","0"
"90","Sydney",1,1,1,150,90,160,192,69,1,0,1,1,0,0,"1","0","0","1","0","0"
"91","Wollstonecraft",1,1,1,90,94,40,260,69,1,0,1,0,1,0,"0","1","0","1","0","0"
"92","Dawes Point",2,1,1,115,86,220,204,61,1,0,1,0,1,0,"0","1","0","0","1","0"
"93","Westleigh",2,1,4,50,93,0,36,28,0,0,0,0,0,0,"0","1","0","0","1","0"
"94","Bronte",1,1,1,249,99,20,8,75,0,1,0,0,0,1,"1","0","0","1","0","0"
"95","Newtown",2.5,3,4,321,98,20,220,51,1,0,0,0,1,0,"1","0","0","0","1","0"
"96","Darling Point",1,1,2,105,78,40,212,55,1,0,1,0,1,0,"1","0","0","1","0","0"
"97","Bondi",1,1,4,135,93,20,20,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"98","Maianbar",2,3,4,200,80,0,16,11,0,0,1,0,0,0,"1","0","0","0","1","0"
"99","Waterloo",1,1,1,150,98,20,172,56,1,0,0,0,1,0,"1","0","0","1","0","0"
"100","Camperdown",1,1,1,119,97,20,212,57,1,0,0,0,1,0,"0","1","0","0","1","0"
"101","Dawes Point",2,1,1,125,89,200,208,60,1,0,1,0,1,0,"0","1","0","0","1","0"
"102","Dawes Point",2,1,1,145,78,220,204,62,1,0,1,0,1,0,"0","1","0","0","1","0"
"103","Willoughby East",2,4,4,550,93,20,92,103,0,0,1,0,0,1,"1","0","0","0","1","0"
"104","Bondi Beach",2,3,3,400,100,0,44,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"105","Redfern",1,1,1,95,91,60,204,60,1,0,1,0,1,0,"0","1","0","0","1","0"
"106","Bondi Beach",1.5,1,1,400,100,0,32,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"107","Bondi Beach",1,1,1,60,97,0,52,65,0,1,0,0,0,1,"0","1","0","1","0","0"
"108","North Bondi",3,3,4,385,100,0,60,70,0,0,1,0,0,1,"1","0","0","0","1","0"
"109","Maroubra",1,1,1,125,97,0,4,48,0,0,1,0,0,1,"0","1","0","0","1","0"
"110","Newtown",1,1,1,68,97,0,116,70,1,0,0,0,1,0,"0","0","1","0","1","0"
"111","Randwick",1,1,1,75,97,0,16,75,0,0,1,0,0,1,"0","1","0","1","0","0"
"112","Potts Point",1,1,1,150,96,60,220,58,1,0,1,0,1,0,"1","0","0","1","0","0"
"113","Surry Hills",0,1,1,75,98,80,216,50,1,0,1,0,1,0,"0","1","0","1","0","0"
"114","Newport",3,4,4,720,88,0,12,5,0,1,0,0,0,0,"1","0","0","0","1","0"
"115","Coogee",1,2,2,150,93,0,12,73,0,1,0,0,0,1,"1","0","0","1","0","0"
"116","Darlinghurst",1,1,1,275,93,80,216,55,1,0,1,0,1,0,"0","1","0","1","0","0"
"117","Milsons Point",3.5,3,6,995,88,40,240,60,1,0,1,0,1,0,"1","0","0","1","0","0"
"118","Bondi Beach",1,2,2,249,87,0,48,65,0,1,0,0,0,1,"1","0","0","1","0","0"
"119","Newtown",1,1,1,93,95,0,108,72,1,0,0,0,1,0,"0","1","0","0","1","0"
"120","Annandale",1,1,1,68,95,80,208,60,0,0,0,0,1,0,"0","1","0","0","1","0"
"121","Bellevue Hill",2,2,2,193,76,0,92,66,0,0,1,0,0,1,"1","0","0","1","0","0"
"122","Paddington",1,2,2,240,97,20,180,49,1,0,1,0,1,0,"1","0","0","1","0","0"
"123","Bondi Beach",1,1,1,249,100,0,52,65,0,1,0,0,0,1,"1","0","0","1","0","0"
"124","Newington",1,1,1,84,99,60,124,73,0,0,0,0,0,1,"0","1","0","0","1","0"
"125","Avalon",1,1,1,150,95,0,20,3,0,1,0,0,0,0,"1","0","0","1","0","0"
"126","Darlinghurst",1,1,1,160,95,140,204,55,1,0,1,0,1,0,"1","0","0","1","0","0"
"127","Balmain",1,3,4,249,82,140,220,74,0,0,0,0,1,0,"1","0","0","0","1","0"
"128","Darlington",2,4,6,220,93,40,200,66,1,0,0,0,1,0,"1","0","0","0","1","0"
"129","Matraville",2,3,3,114,93,0,12,34,0,0,1,0,0,1,"1","0","0","1","0","0"
"130","Glebe",2.5,3,3,350,96,20,224,65,1,0,0,0,1,0,"1","0","0","0","1","0"
"131","Kirribilli",1,1,1,145,95,40,244,56,1,0,1,0,1,0,"1","0","0","1","0","0"
"132","Malabar",1,2,4,99,100,0,24,8,0,1,0,0,0,0,"1","0","0","1","0","0"
"133","Erskineville",1.5,2,2,200,100,0,204,56,1,0,0,0,1,0,"1","0","0","0","1","0"
"134","Newtown",2,3,4,249,100,0,184,58,1,0,0,0,1,0,"1","0","0","0","1","0"
"135","Drummoyne",2,1,1,80,86,0,212,81,0,0,0,0,1,0,"0","1","0","0","1","0"
"136","Pyrmont",1.5,1,1,125,93,120,220,67,1,0,1,0,1,0,"0","1","0","1","0","0"
"137","Balmain",2,3,4,304,94,140,212,75,0,0,1,0,1,0,"1","0","0","1","0","0"
"138","North Bondi",1,1,1,249,91,0,40,68,0,1,0,0,0,1,"1","0","0","0","1","0"
"139","Waverton",1.5,1,1,119,93,40,264,70,1,0,1,0,1,0,"0","1","0","1","0","0"
"140","Freshwater",1,1,2,125,97,0,28,43,0,0,1,0,0,0,"1","0","0","1","0","0"
"141","Bondi Beach",1,0,1,174,92,0,44,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"142","Fairfield West",1,1,1,118,83,0,28,29,0,0,0,0,0,1,"0","1","0","0","1","0"
"143","North Rocks",1,1,1,80,98,0,44,58,0,0,0,0,0,1,"0","1","0","1","0","0"
"144","Darlinghurst",1,1,3,119,92,80,216,54,1,0,1,0,1,0,"0","1","0","0","1","0"
"145","Oatley",3,1,1,64,94,0,36,14,1,0,0,0,0,0,"0","1","0","0","1","0"
"146","Ultimo",1.5,3,4,420,96,100,204,68,1,0,0,0,1,0,"1","0","0","0","1","0"
"147","Surry Hills",1,1,1,105,96,60,204,52,1,0,1,0,1,0,"0","1","0","0","1","0"
"148","Sydney",1,2,3,161,83,120,196,53,1,0,1,0,1,0,"1","0","0","1","0","0"
"149","Marrickville",1,1,2,119,98,20,64,70,1,0,0,0,0,1,"1","0","0","1","0","0"
"150","Pennant Hills",1.5,1,1,75,97,20,36,44,1,0,0,0,0,0,"0","1","0","0","1","0"
"151","Pennant Hills",1,1,1,75,97,20,36,44,1,0,0,0,0,0,"0","1","0","0","1","0"
"152","Summer Hill",1,1,1,84,93,40,104,88,1,0,0,0,0,1,"1","0","0","1","0","0"
"153","Elizabeth Bay",1,1,1,249,97,60,216,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"154","Cremorne",1,1,2,90,100,0,180,71,0,0,1,0,0,1,"0","1","0","0","1","0"
"155","Bondi",1,1,1,185,85,0,52,67,0,0,1,0,0,1,"1","0","0","1","0","0"
"156","Bondi",1,1,1,165,87,0,52,67,0,0,1,0,0,1,"1","0","0","1","0","0"
"157","Redfern",1,2,1,119,93,40,192,56,1,0,1,0,1,0,"1","0","0","0","1","0"
"158","Kellyville",2.5,3,3,101,100,0,4,8,0,0,0,0,0,0,"1","0","0","0","1","0"
"159","Dulwich Hill",1.5,3,4,290,100,0,104,83,1,0,0,0,0,1,"1","0","0","0","1","0"
"160","Blakehurst",1,2,2,168,94,20,32,13,0,0,1,0,0,0,"1","0","0","1","0","0"
"161","Beecroft",1.5,1,1,68,100,0,20,87,1,0,0,0,0,1,"0","1","0","0","1","0"
"162","Chippendale",2,1,1,84,97,100,196,68,1,0,1,0,1,0,"0","1","0","1","0","0"
"163","North Bondi",2,4,7,300,91,0,48,68,0,1,0,0,0,1,"1","0","0","0","1","0"
"164","Coogee",1,2,2,300,86,0,8,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"165","Surry Hills",1.5,2,2,300,92,100,192,53,1,0,1,0,1,0,"1","0","0","0","1","0"
"166","Surry Hills",1,1,1,149,98,120,200,56,1,0,1,0,1,0,"1","0","0","1","0","0"
"167","Bondi Beach",1,1,1,99,93,0,40,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"168","Bronte",1,2,2,249,88,20,28,70,0,1,0,0,0,1,"1","0","0","1","0","0"
"169","Carlingford",0.5,1,2,64,100,0,132,53,1,0,0,0,1,0,"0","1","0","0","0","1"
"170","Auburn",1,1,1,59,80,20,108,76,1,0,0,0,0,1,"0","1","0","1","0","0"
"171","Chippendale",1,2,2,211,96,60,204,67,1,0,0,0,1,0,"1","0","0","1","0","0"
"172","Coogee",1,1,1,130,94,0,16,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"173","Cremorne",1,1,1,60,93,0,248,54,0,1,0,0,1,0,"0","1","0","1","0","0"
"174","Redfern",1,1,2,135,98,80,200,62,1,0,1,0,1,0,"1","0","0","1","0","0"
"175","Manly",2,1,1,139,93,100,52,34,0,1,0,0,0,0,"0","1","0","0","1","0"
"176","Petersham",1,1,1,119,97,0,108,75,1,0,0,0,0,1,"0","1","0","1","0","0"
"177","Darlinghurst",1,1,1,80,90,240,188,53,1,0,1,1,0,0,"0","1","0","0","1","0"
"178","Bondi Beach",1,1,1,105,98,0,48,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"179","Newtown",1,1,1,145,91,0,204,53,1,0,0,0,1,0,"1","0","0","1","0","0"
"180","Paddington",2,2,2,200,98,20,204,52,0,0,1,0,1,0,"1","0","0","1","0","0"
"181","Sydney",1,1,1,75,80,20,180,52,1,0,1,0,1,0,"0","1","0","0","1","0"
"182","Stanmore",1,2,2,160,95,0,168,65,1,0,0,0,1,0,"1","0","0","0","1","0"
"183","Allambie Heights",1,1,1,119,93,0,32,49,0,0,1,0,0,0,"1","0","0","1","0","0"
"184","Manly",1,3,4,321,98,100,56,44,0,1,0,0,0,0,"1","0","0","0","1","0"
"185","Rooty Hill",2,1,6,46,97,0,4,8,0,0,0,0,0,0,"0","1","0","0","1","0"
"186","Bondi Beach",1,2,4,259,89,0,40,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"187","Redfern",1,1,1,200,94,0,204,48,0,0,1,0,1,0,"1","0","0","1","0","0"
"188","Centennial Park",1,1,2,99,80,20,168,51,0,0,1,0,1,0,"1","0","0","1","0","0"
"189","Woolloomooloo",1,1,4,172,93,160,204,58,1,0,1,0,1,0,"1","0","0","1","0","0"
"190","Lane Cove North",0.5,1,1,75,93,0,120,100,0,0,0,0,0,1,"0","1","0","0","1","0"
"191","Church Point",2,3,3,359,100,0,12,6,0,1,0,0,0,0,"1","0","0","0","1","0"
"192","Church Point",2,3,3,359,95,0,12,6,0,1,0,0,0,0,"1","0","0","0","1","0"
"193","Redfern",1,1,1,125,100,40,204,59,1,0,0,0,1,0,"1","0","0","1","0","0"
"194","Mona Vale",1,1,1,101,80,0,12,5,0,0,1,0,0,0,"1","0","0","0","1","0"
"195","Sydney",1,1,2,101,87,0,36,51,0,0,1,0,0,0,"1","0","0","1","0","0"
"196","Tamarama",1,2,3,185,92,20,16,73,0,1,0,0,0,1,"1","0","0","1","0","0"
"197","Darlington",1,2,2,168,99,20,212,58,1,0,0,0,1,0,"1","0","0","0","1","0"
"198","Bilgola",1,1,2,190,97,40,8,4,0,1,0,0,0,0,"1","0","0","1","0","0"
"199","Redfern",3,1,1,99,99,40,192,58,1,0,1,0,1,0,"0","1","0","0","1","0"
"200","Paddington",1,0,2,105,89,40,216,54,1,0,1,0,1,0,"1","0","0","1","0","0"
"201","Balmain East",1,1,1,110,97,140,212,73,1,0,1,0,1,0,"0","1","0","0","1","0"
"202","Bellevue Hill",1,1,1,150,80,0,64,74,0,0,1,0,0,1,"1","0","0","1","0","0"
"203","Clovelly",3,4,7,550,87,0,12,74,0,1,0,0,0,1,"1","0","0","0","1","0"
"204","North Bondi",1,2,2,249,100,0,36,63,0,1,0,0,0,1,"1","0","0","1","0","0"
"205","Bondi",1.5,2,2,249,98,20,36,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"206","Paddington",2.5,2,2,400,99,20,216,52,0,0,1,0,1,0,"1","0","0","0","1","0"
"207","Paddington",1,1,1,150,94,40,212,53,1,0,1,0,1,0,"1","0","0","1","0","0"
"208","South Coogee",1,1,1,139,95,0,8,54,0,0,1,0,0,1,"0","1","0","1","0","0"
"209","Cherrybrook",1,1,6,79,93,0,12,32,0,0,0,0,0,0,"0","1","0","0","1","0"
"210","Fairlight",2,3,6,396,90,0,84,54,0,1,0,0,0,0,"1","0","0","0","1","0"
"211","Surry Hills",1,1,1,139,96,120,204,56,1,0,1,0,1,0,"0","1","0","0","1","0"
"212","Manly",2,1,2,139,100,100,60,46,0,1,0,0,0,0,"1","0","0","1","0","0"
"213","Waverton",1,1,1,64,88,60,264,68,1,0,1,0,1,0,"0","1","0","1","0","0"
"214","Surry Hills",1,1,1,150,96,140,200,58,1,0,1,0,1,0,"0","1","0","0","1","0"
"215","Darlington",1,1,1,80,92,60,204,66,1,0,0,0,1,0,"0","1","0","0","1","0"
"216","Darlington",1,1,1,95,92,60,204,67,1,0,0,0,1,0,"0","1","0","0","1","0"
"217","Bondi Beach",1,3,3,321,89,0,52,65,0,1,0,0,0,1,"1","0","0","1","0","0"
"218","Clovelly",1,1,1,84,93,0,12,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"219","Redfern",1,1,1,89,100,40,200,59,1,0,1,0,1,0,"1","0","0","1","0","0"
"220","Darling Point",2.5,2,2,949,100,60,212,54,1,0,1,0,1,0,"1","0","0","1","0","0"
"221","Dulwich Hill",1,1,1,64,100,0,104,78,1,0,0,0,0,1,"0","1","0","0","1","0"
"222","Sydney",1.5,2,3,300,94,60,196,56,1,0,1,0,1,0,"1","0","0","0","1","0"
"223","North Curl Curl",2.5,4,6,895,100,0,20,23,0,1,0,0,0,0,"1","0","0","0","1","0"
"224","Camperdown",2,2,2,117,90,20,212,59,1,0,0,0,1,0,"1","0","0","1","0","0"
"225","Fairlight",2,2,2,460,90,100,48,47,0,1,0,0,0,0,"1","0","0","0","1","0"
"226","Waterloo",1,1,1,75,94,20,164,57,1,0,0,0,1,0,"0","1","0","0","1","0"
"227","Manly Vale",1,2,4,211,96,0,52,40,0,0,1,0,0,0,"1","0","0","0","1","0"
"228","Erskineville",1.5,3,4,249,90,0,172,56,1,0,0,0,1,0,"1","0","0","0","1","0"
"229","Redfern",1,1,1,46,97,60,196,60,1,0,1,0,1,0,"0","1","0","0","1","0"
"230","Wollstonecraft",1.5,3,5,169,95,40,244,74,1,0,1,0,1,0,"1","0","0","0","1","0"
"231","Sydney",1,1,1,119,95,0,52,67,0,0,1,0,0,1,"1","0","0","1","0","0"
"232","Ultimo",1.5,3,4,390,97,140,200,67,1,0,1,0,1,0,"1","0","0","0","1","0"
"233","Bondi Beach",1,1,2,188,91,0,48,69,0,1,0,0,0,1,"1","0","0","1","0","0"
"234","Chippendale",1,1,1,185,98,40,204,66,1,0,0,0,1,0,"1","0","0","1","0","0"
"235","Darlinghurst",2,2,2,400,100,80,220,54,1,0,1,0,1,0,"1","0","0","1","0","0"
"236","Concord West",2,1,2,80,93,0,88,107,1,0,0,0,0,1,"0","1","0","0","1","0"
"237","Wiley Park",1,2,4,70,48,20,36,40,1,0,0,0,0,0,"1","0","0","1","0","0"
"238","Bondi",1,2,2,200,80,0,52,65,0,1,0,0,0,1,"1","0","0","1","0","0"
"239","Tamarama",1,0,2,174,89,20,16,73,0,1,0,0,0,1,"1","0","0","1","0","0"
"240","Concord West",1,1,2,80,95,0,96,106,1,0,0,0,0,1,"0","1","0","0","1","0"
"241","Concord West",1,1,2,80,96,0,92,108,1,0,0,0,0,1,"0","1","0","0","1","0"
"242","Bondi",1,1,1,70,100,0,52,66,0,1,0,0,0,1,"0","1","0","1","0","0"
"243","Sydney",1,1,2,280,93,300,196,55,1,0,1,0,1,0,"1","0","0","1","0","0"
"244","Lugarno",1,2,2,119,84,0,12,22,0,0,0,0,0,0,"1","0","0","1","0","0"
"245","Kirribilli",2,1,1,130,98,20,252,57,1,0,1,0,1,0,"0","1","0","1","0","0"
"246","Maroubra",1,1,1,90,96,0,8,66,0,0,1,0,0,1,"1","0","0","1","0","0"
"247","Kensington",1,1,2,101,96,0,140,56,0,0,1,0,1,0,"1","0","0","1","0","0"
"248","Fairlight",2,1,1,90,95,80,68,52,0,1,0,0,0,0,"0","1","0","1","0","0"
"249","Camperdown",1,1,2,119,80,40,212,64,1,0,0,0,1,0,"1","0","0","1","0","0"
"250","Rushcutters Bay",1,1,1,99,60,40,228,57,1,0,1,0,1,0,"1","0","0","1","0","0"
"251","Newtown",1,1,1,170,86,0,216,54,1,0,0,0,1,0,"1","0","0","1","0","0"
"252","Fairlight",1,1,1,84,91,20,48,38,0,1,0,0,0,0,"0","1","0","1","0","0"
"253","Coogee",1,3,4,350,94,0,12,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"254","Newtown",1,2,4,211,84,0,216,56,1,0,0,0,1,0,"1","0","0","1","0","0"
"255","Neutral Bay",1,1,1,160,90,0,272,55,0,0,1,0,1,0,"0","1","0","0","0","1"
"256","Rosebery",2,2,2,165,100,0,76,72,0,0,0,0,1,0,"1","0","0","1","0","0"
"257","Surry Hills",1,2,2,231,90,80,192,63,1,0,1,0,1,0,"1","0","0","1","0","0"
"258","Frenchs Forest",3,4,5,139,100,20,20,53,0,0,0,0,0,0,"1","0","0","0","1","0"
"259","Manly",1,1,2,95,82,80,56,39,0,1,0,0,0,0,"1","0","0","1","0","0"
"260","Newport",1,1,1,174,93,20,8,5,0,1,0,0,0,0,"1","0","0","1","0","0"
"261","Paddington",2,1,1,84,92,20,192,51,1,0,1,0,1,0,"0","1","0","0","1","0"
"262","Bondi Beach",1,1,2,110,80,0,64,69,0,0,1,0,0,1,"1","0","0","1","0","0"
"263","Darlington",2,2,4,186,95,0,216,58,1,0,0,0,1,0,"1","0","0","0","1","0"
"264","Cremorne",2,1,2,90,80,0,180,71,0,0,1,0,0,1,"0","1","0","0","1","0"
"265","Camperdown",2,1,1,101,81,40,212,61,0,0,0,0,1,0,"0","1","0","1","0","0"
"266","Randwick",1,1,1,35,94,0,36,71,0,0,1,0,0,1,"0","0","1","1","0","0"
"267","Ultimo",1,1,2,89,100,200,188,68,1,0,1,1,0,0,"0","1","0","1","0","0"
"268","Bondi Beach",1,2,2,174,100,0,40,68,0,1,0,0,0,1,"1","0","0","1","0","0"
"269","Potts Point",1,1,1,215,93,80,216,58,1,0,1,0,1,0,"1","0","0","1","0","0"
"270","Redfern",1,1,1,90,93,40,188,58,1,0,1,0,1,0,"1","0","0","0","1","0"
